  Average Equal Weighted Returns -- Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
200011,-14.38,-5.61,-6.93,-9.15,-19.68,-12.42,-3.77,-6.99,-9.99,-18.83,-7.67,-0.33,-4.79,-5.23,-20.55,-6.27,-0.98,-7.1,-7.52,-24.78,-5.81,-6.1,-6.22,-7.18,-26.61
200012,-6.4,1.32,2.03,1.97,0.3,3.61,8.88,8,9.03,11.48,4.18,6.85,9.73,12.46,12.84,6.54,7.36,6.27,10.05,7.46,4.46,6.06,3.14,4.07,6.64
200101,41.08,12.13,10.98,9.92,11.53,23.71,7.37,3.27,1.03,-1.98,19.65,7.55,1.26,-4.41,-4.81,17.26,5.52,1.63,-2.19,-7.62,17.96,7.24,-1.74,-2.94,-6.22
200102,-10.18,-0.84,-0.85,-3.27,-2.94,-18.77,-2.81,-1.93,-1.14,-5.01,-15.14,-5.57,-3.41,-1.33,-3.94,-17.14,-5.36,-1.93,-5.82,-3.82,-20.1,-8.48,-8.92,-2.44,-3.52
200103,-11.2,-1.41,0.51,-1.47,1.16,-12.32,-2.5,-2.27,-3.63,-1.89,-16.5,-8.16,-3.85,-1.85,-5.2,-17.44,-5.96,-2.42,-3.51,-3.5,-17.19,-8.26,-5.33,-5.53,-1.79
200104,8.39,5.66,4.29,4.23,9.79,18.09,9.29,6.62,4.99,7.74,25.05,11.5,7.11,5.58,6.47,21.03,9.59,8.03,6.57,6.63,18.03,6.43,6.05,3.23,2.82
200105,8.56,7.91,8.3,8.71,9.18,3.28,2.56,2.61,2.62,4.71,-1.54,3.94,4.03,3.88,0.83,-4.34,4.36,2.47,4.23,2.53,-5.81,2,2.53,3.02,3.08
200106,-0.74,2.77,3.17,2.65,1.7,4.29,5.07,4.55,5.72,4.97,-1.68,0.29,-1.54,0.45,-0.83,0.01,-0.74,0.7,-1.14,0.52,-2.41,-2.79,-2.97,-1.87,-1.67
200107,-6.36,-1.04,-0.71,0.13,0.46,-11.11,-4.46,-2.51,-0.99,-3.28,-13.81,-4.44,-1.33,1.94,-1.26,-8.54,-3.92,-0.89,0.77,2.13,-9.63,-1.68,-0.26,1.24,-0.31
200108,-6.95,-1.67,-1.71,-0.37,-1.24,-11.41,-2.66,-0.3,-2.15,-3.69,-10.71,-4.46,-1,-0.24,-2.78,-14.1,-5.54,-2.46,-0.94,-3.22,-13.44,-4.53,-3.04,-1.68,-4.65
200109,-18.46,-10.05,-8.77,-8.03,-8.5,-25.85,-17.5,-10.95,-9.54,-12.53,-25.28,-14.65,-9.78,-9.48,-7.25,-26.36,-14.52,-10.18,-8.05,-8.45,-19.9,-10.39,-6.91,-6.8,-5.4
200110,11.33,4.08,4.13,4.44,6.42,20.93,6.05,5.33,2.09,6.13,19.13,6.01,3.41,0.64,3.32,18.31,3.18,2.29,0.83,-0.37,6.76,1.03,-0.77,-0.16,-0.08
200111,12.86,3.09,5.31,5.06,5.11,17.63,10.03,5.96,4.54,6.22,15.41,8.32,8.51,6.56,5.21,16.6,11.02,8.57,5.32,3.09,13.19,8.53,7.57,4.78,5.36
200112,8.61,7.7,4.79,5.79,5.33,10.36,6.41,6.93,6.36,6.25,5.3,6.75,5.49,4.76,3.82,3.48,4.71,5.58,4.49,3.68,-0.45,1.85,2.91,1.81,2.31
200201,4.66,3.55,5.64,4.29,5.49,-6.81,-0.53,-0.63,-0.11,2.2,-9.45,-3.03,0.8,0.31,0.44,-3.09,-0.75,0.88,-0.85,0.44,-3.85,0.03,-0.85,-1.05,1.05
200202,-6.21,1.74,-0.42,0.3,0.4,-11.32,-1.45,0.37,-0.6,-1.79,-7.14,-0.28,0.4,1.81,-0.6,-11.81,-0.04,-0.87,1.31,2,-10.74,0.16,-0.19,1.43,-0.97
200203,9.95,8.21,6.66,7.35,8.83,10.46,9.27,8.49,8.15,8.37,13.42,6.19,8.47,5.92,5.46,8.95,7.47,6.32,5.32,5.08,5.8,4.6,4.72,3.96,4.51
200204,-2.6,1.6,3.73,5.21,3.42,-6.9,-0.48,2.04,0.81,1.52,-4.89,-1.03,-1.49,0.89,2.29,-8.34,-1.9,-0.63,0.13,0.9,-9.94,-4.28,-1.46,-0.66,-2.32
200205,-4.58,1.36,1.75,2.51,4.96,-7.95,-3.47,-3.9,-1.68,-2.89,-8.49,-1.56,-1.88,-1.89,-2.23,-4.3,-0.77,0.33,0.57,-1.1,-3.51,-1.05,0.16,0.02,1.4
200206,-12.88,-6.03,-4.54,-1.37,-2.01,-12.55,-6.54,-2.18,-1.22,-1.38,-14.85,-7.47,-5.28,-8.3,-5.08,-21.07,-7.71,-6.79,-5.79,-5.05,-14.64,-7.53,-5.04,-3.44,-3.71
200207,-14.99,-12.56,-10.04,-9.26,-11.94,-18.71,-14.42,-14.36,-12.25,-13.73,-12.79,-12.83,-10.56,-8.49,-10.02,-14.21,-11.22,-10.3,-7.36,-9.75,-11.16,-9.51,-7.1,-7.27,-9.21
200208,-0.92,-0.11,-0.28,1.24,1.77,-2.12,-0.46,2.59,2,1.57,0.35,0.81,1.15,3.09,1.3,2.15,-0.08,-0.4,0.68,1.64,-0.34,-0.06,0.75,1.76,2.73
200209,-12.85,-7.98,-5.23,-3.76,-5.02,-14.37,-8.32,-4.02,-5.32,-3.79,-18.31,-8.37,-5.38,-5.87,-4.82,-20.59,-10.17,-7.44,-5.52,-4.93,-14.75,-10.1,-8.33,-7.24,-4.13
200210,6.91,1.14,2.56,3.21,2.67,8.65,2.78,0.68,2.94,3.51,9.82,3.72,3.39,2.68,4.64,9.64,3.84,5.22,3.9,3.77,11.54,7.07,2.28,5.13,2.21
200211,23.73,9.2,6.04,4.44,4.91,24.59,9.4,2.62,4.2,1.74,22.47,8.08,5.93,2.12,3.06,26,10.8,4.45,3.42,-0.23,14.99,7.49,3.63,1.57,-2.89
200212,-8.36,-0.33,0.13,0.54,5.28,-13.11,-4.82,-1.76,-1.5,0.13,-10.46,-7.11,-2.18,-0.88,-2.34,-12.11,-4.06,-3.51,-0.51,-1.04,-10.6,-6.14,-1.89,-1.72,-0.46
200301,3.4,1.78,3.24,2.73,3.15,-3.73,-4.11,-1.93,-3.48,-0.63,-4.46,-3.13,-1.4,-0.03,-2.59,-0.15,-3.59,-1.58,-1.47,-2.18,-0.14,-2.51,-1.77,-2.46,0.54
200302,-3.97,-1.63,-0.07,-0.34,0.98,-3.39,-5.66,-3.68,-0.45,-1.86,-4.17,-3.87,-1.58,-1.74,-1.35,-1.78,-2.8,-2.69,-0.61,-0.71,-1.75,-2.33,-1.42,-1.15,0.39
200303,-0.95,-1.09,-0.31,-0.28,0.46,0.97,-1.56,1.47,1.33,0.94,1.89,-1.34,1.61,0.61,0.94,0.34,-0.51,1.37,-0.78,0.66,-0.64,1.1,0.77,1.35,1.7
200304,14.05,8.06,5.3,5.58,5.76,17.12,9.85,8.47,5.94,6.98,15.63,10.5,6.83,7.64,7,13.43,9.17,6.46,5.49,6.39,13.84,9.16,6.87,4.29,3.97
200305,22.4,13.14,10.15,9.32,8.55,16.62,9.61,8.11,7.36,8.41,13.92,10.42,7.06,6.64,8.4,16.89,7.68,7.87,8.3,6.33,11.58,8.09,6.29,6.31,6.67
200306,8.26,5.2,7.23,6.31,4.5,3.59,2.92,0.39,1.14,3.61,3.3,2.03,1.47,1.73,2.15,1.43,1.63,1.32,1.9,2.04,2.29,1.41,-0.78,0.62,1.75
200307,7.3,5.19,6.37,5.63,7.3,6.15,6.48,4.55,6.12,7.45,4.7,4.65,3.28,2.89,4.35,4.74,4.24,3.62,1.22,2.13,4.04,2.07,1.46,0.32,1.48
200308,6.82,5.99,5.53,7.82,7.9,7.09,4.65,3.47,4.71,5.97,6.75,4.82,4.43,3.78,7.73,4.01,3.8,4.56,6.07,4.82,3.99,1.95,3.26,3.44,4.21
200309,7.7,5.44,5.91,4.68,5.47,-1.64,0.52,-1.22,-2.22,-2.25,-2.3,-1.18,-1.13,-0.07,-2.5,-0.99,-0.79,-0.26,-1.93,-1.25,-2.25,-0.16,-2.08,-1.21,-2.77
200310,6.81,8.05,7.64,10.11,11.92,6.79,5.96,8.11,8.13,13.02,6.1,7.15,7.71,10.45,9.24,5.43,5.37,8.81,7.64,11.02,4.6,4.45,7.14,7.68,10.86
200311,3.98,5.69,5.07,5.34,5.98,2.95,2.76,4,3.35,3.44,3.67,3.66,2.94,2.64,4.36,2.09,2.37,2.25,3.7,4.28,2.18,1.86,0.09,2.59,4.16
200312,6.49,4.99,3.66,3.45,4.9,5.5,5,2.09,2.51,2.08,7.13,4.17,2.18,1.67,0.73,7.05,3.44,2.96,2.49,0.77,6.82,5.22,5.12,3.33,0.03
200401,9.42,7.46,6.12,7.15,9.53,1.49,2.61,3.29,3.53,6.4,1.45,2.74,2.32,2.53,4.3,2.74,2.89,1.37,2.26,3.67,0.64,1.32,2.21,0.4,4.19
200402,1.31,1.67,1.31,1.25,2.14,0.94,0.9,1.26,1.66,0.38,2.04,3.08,2.77,3.56,-0.01,2.69,3.16,2.57,1.09,1.54,2.12,2.9,2.34,1.47,2.47
200403,-0.73,1.77,1.32,1.02,0.51,0.3,2.43,1.81,1.08,-0.08,1.05,1.71,0.16,1.07,0.84,-0.7,0.24,0.27,0.31,0.55,-1.56,-0.52,-0.16,-0.88,-0.48
200404,-3.11,-2.22,-2.28,-4.05,-5.61,-1.97,-2.51,-5.52,-4.86,-8.57,-2.13,-2.75,-1.7,-4.28,-5.68,-1.12,-1.94,-3.11,-4.48,-7.17,0.55,-0.74,-2.15,-3.82,-8.01
200405,-3.16,-0.45,-0.44,-0.88,-0.31,0,1.25,1.1,0.83,2.03,0.75,1.48,1.09,2.38,3.34,1.39,2.09,2.11,2.07,4.88,0.42,2.41,0.74,1.08,2.86
200406,1.31,3.44,2.98,3.28,2.58,3.29,4.67,6.05,5.45,5.01,0.56,2.86,3.76,4.64,4.54,1.93,2.16,1.33,3.02,3.13,0.82,2.31,2.29,4.12,4.34
200407,-6.12,-4.18,-2.99,-5.27,-5.92,-8.33,-5.28,-4.74,-4.15,-7.83,-6.08,-5.29,-2.75,-6.34,-5.11,-5.37,-5.21,-3.78,-4.13,-6.59,-3.04,-2.02,-2.12,-4.32,-6.18
200408,-2.38,-1.25,-0.09,-0.87,-1,-0.95,-1,1.17,-1.79,-2.08,-0.36,0.7,-0.09,-0.62,-2.87,-0.31,0.86,0.46,-0.7,-1.55,1.15,1.04,0.21,-0.03,-1.66
200409,5.11,4.23,3.93,5.45,7.5,3.16,5.35,5.72,8,8.54,1.14,3.75,3.86,4.25,7.34,2.29,3.73,4.2,3.53,7.62,1.77,1.69,2.42,4.73,7.7
200410,1.64,1.65,3.13,3.02,3.4,4.17,2.39,3.15,2.78,2.63,4.21,1.68,3.33,2.55,0.27,4.17,3.18,1.73,3.31,2.08,3.73,1.63,1.7,0.8,3.59
200411,9.26,6.14,6.65,8.39,9.63,8.79,8.24,9.01,9.83,11.05,7.45,6.02,7.16,7.34,10.84,5.67,5.26,5.79,6.31,7.95,3.11,4.93,5.3,5.49,7.75
200412,7.45,3.7,4.56,4.46,5.84,4.71,3.47,2.66,1.94,2.95,4.71,3.55,2.11,1.88,2.63,4.2,4.07,3.92,3.88,3.47,5.7,4.22,3.82,2.82,2.12
200501,-5.33,-2.42,-2.17,-1.35,-1.55,-7.57,-3.37,-3.39,-2.44,-1.45,-5.88,-3.7,-2.26,-2.28,-1.03,-5.64,-2.83,-2.08,-0.89,0.1,-3.82,-2.18,-2.37,-1.09,-2.66
200502,0.72,2.84,1.56,2.62,5.92,0.91,1.33,1.61,2.14,4.45,0.91,0.86,1.29,2.6,6.91,1.8,2.24,2.1,3.46,5.5,0.82,0.43,2.3,4.02,5.56
200503,-4.29,-1.75,-1.98,-0.24,-2.38,-2.79,-0.59,-1.77,-2.68,-3.29,-1.41,-1.71,-1.64,-0.92,-4.22,-0.86,-0.67,0.16,-0.17,-1.69,-2.4,-1.27,-1.19,-0.06,0.52
200504,-7.94,-4.46,-5.29,-5,-6.44,-8.53,-5.25,-5.18,-4.03,-6.62,-6.46,-5.66,-4.55,-4.52,-7.86,-5.59,-3.28,-2.41,-3.34,-4.44,-2.55,-2.58,-1.19,-2.84,-6.17
200505,4.22,3.14,1.7,3.7,4.18,8.01,5.19,6.69,5.4,6.43,6.34,5.28,5.25,6.01,5.78,4.57,5.12,4.19,5.38,5.99,4.45,2.99,3.68,2.58,6.74
200506,3.36,2.84,3.55,4.26,6.21,3.48,4.68,4.26,4.42,5.02,1.95,3.91,2.71,2.7,3.3,1.08,0.99,1.94,3.03,4.72,-0.43,0.61,1.2,3.8,5.9
200507,7.22,5.53,4.89,5.44,8.02,6.55,6.37,6.88,5.76,8.57,5.5,5.68,4.86,4.25,6.08,6.24,5.5,4.4,4.63,7.07,5.33,3.33,5.14,3.8,6.12
200508,-0.68,-0.17,1.28,0.84,3.37,-1.4,-1.39,-0.92,-0.27,1.44,-2.14,-1.53,-1.89,-0.32,1.77,-0.59,-0.76,0.12,0.52,0.22,-1.05,-1.59,-1.25,0.78,3.39
200509,1.83,1.04,2.08,1.38,3.99,0.09,-0.9,1.66,0.1,3.31,-1.27,-0.8,1.61,0.71,3.49,-0.4,1.13,1.23,3,2.54,-0.42,-1,2.4,3.71,4.89
200510,-5.19,-3.39,-3.05,-2.6,-5.7,-3.6,-1.87,-2.48,-4.27,-4.96,-4.08,-2.34,-4.95,-4.29,-5.17,-1.78,-1.31,-2.58,-3.81,-6.11,-1.87,-0.65,-2.49,-2.67,-5.85
200511,1.6,3.25,5.3,3.73,4.55,5.46,4.07,4.71,4.73,6.65,5.9,4.14,6.09,5.19,6.75,5.97,3.63,5.96,4.3,5.35,3.04,4.12,4.18,5.53,3.8
200512,2.35,1.83,1.3,3.77,4.92,0.1,-0.43,0.34,0.37,1.84,0.45,-0.3,0.62,0.39,0.15,0.37,1.24,1.39,1.23,2.46,0.28,0.3,1.82,0.94,3.73
200601,11.01,6.36,6.98,7.04,11.96,7.98,8.14,5.73,8.98,13.28,6.97,5.3,5.21,8.08,10.34,3.44,2.81,3.15,4.33,10.48,2.57,1.28,3.05,4.15,11.66
200602,1.36,1.74,1.38,1.8,0.45,-1.34,2.75,1.26,-0.67,-3.11,-0.84,0.77,-1.05,-0.93,-2.16,0.47,0.98,0.75,0.36,-2.64,0.85,1.38,1.47,-0.33,-5.1
200603,3.45,3.66,3.75,5.51,6.16,3.7,2.56,4.33,4.49,5.22,2.48,1.48,2.81,4.89,4.92,1.04,2.6,2.63,3.08,6.13,1.68,0.84,1.12,0.57,3.9
200604,1.76,1.38,1.39,2.86,4.66,-0.27,0.14,1.28,2.74,1.84,1.53,1.1,1.01,1.81,2.92,0.43,1.09,1.29,1.5,3.28,1.78,1.4,1.73,1.64,3.41
200605,-4.7,-2.77,-3.02,-3.9,-6.53,-3.92,-3.81,-3.67,-4.95,-7.52,-3.07,-4.04,-2.02,-4.93,-7.36,-2.49,-2.72,-3.38,-4.21,-5.94,-1.67,-1.17,-2.8,-3.46,-5.05
200606,-2.96,-0.81,-1.09,-1.87,-3.96,-2.56,-0.65,-0.01,-1.26,-2.55,-2.41,-1.17,-0.15,-0.72,-0.23,-1.72,-0.72,0.56,-0.88,-0.75,-1.13,0.86,-0.14,0.28,0.14
200607,-4.54,-1.18,-1.43,-1.77,-1.63,-3.9,-1.81,-1.43,-2.41,-4.3,-2.01,-2.91,-1.07,-4.03,-4.81,-2.91,-1.48,-2.04,-2.39,-6.43,-0.62,0.02,0.72,-0.72,-3.37
200608,2.22,1.59,2.16,1.69,2.41,5,3.27,2.43,3.33,2,4.7,3.47,2.3,3.43,-0.34,4.86,3.36,3.2,2.39,0.02,4.37,3.69,2.92,2.2,-1.24
200609,-0.9,-0.83,-0.06,-0.7,-0.86,1.86,0.99,0.33,-0.11,-1.69,1.56,0.51,-1.28,-0.16,-1.21,2.81,1.85,1.33,0.33,-1.05,3.23,3.13,0.76,2.39,-0.3
200610,4.67,3.33,3.17,5.38,4.89,6.88,6.1,6.06,4.39,6.28,6.55,5.43,4.23,2.97,7.63,3.52,3.42,3.24,2.16,5.25,2.78,4.87,2.49,3.34,4.1
200611,1.37,0.86,1.61,0.46,2.74,2.75,3.54,2.33,0.91,1.46,4.32,3.19,1.81,2.65,4.17,5.78,3.16,1.48,3.24,2.06,2.54,2.8,1.35,2.74,1.79
200612,1.64,0.96,1.44,2.98,2.56,0.15,0.81,0.7,1.01,-0.03,-1.37,0.01,0.82,0.76,0.92,0.56,0.42,0.68,0.06,-0.19,-0.44,0.46,1.51,1.43,0.36
200701,2.94,1.26,2.61,2.2,3.26,1.49,0.73,0.78,1.03,2.13,3.43,0.51,2.44,2.03,3.13,3.39,2.62,2.49,2.73,3.81,2.88,0.55,1.61,2.55,3.52
200702,1.37,0.54,1.9,1.99,1.14,0.47,-0.06,1.7,-0.61,-0.16,-0.67,0.32,-0.79,0.05,0.8,1.29,0.82,-0.17,1.01,0.35,-0.64,-0.54,-0.32,-0.76,-0.69
200703,-0.73,0.4,0.69,0.16,3.27,-0.64,0.97,3.07,1.03,2.1,0.92,0.42,1.22,2.88,2.76,-1.67,1.06,2.45,2.42,3.45,-0.97,1.84,0.33,1.54,2.4
200704,3.69,2.65,2.69,3.1,6.58,2.95,2.8,2.92,2.68,4.48,3.03,2.35,3.29,4.31,4.38,4.98,3.48,4.56,4.31,3.62,5.64,4.99,5.25,3.45,3.05
200705,1.69,2.05,2.94,4.27,2.84,4.73,4.64,4,3.47,4.29,5.58,5.63,4.27,3.6,4.55,5.12,5.27,5.09,4.36,5.11,4.45,4.68,4.73,3.4,3.83
200706,-0.9,0.27,0.71,-0.94,0.8,-1.91,-1.23,-1.48,-0.19,-1.95,-2.01,-0.88,-0.98,0.08,0.29,-2.35,-0.98,-1.19,-1.73,-0.94,-0.68,-0.46,-1.69,-1.72,-0.9
200707,-4.95,-3.5,-3.53,-0.95,-2.34,-7.13,-5.81,-5.13,-4.35,-4.23,-7.17,-5.14,-3.73,-3.52,-3.22,-6.92,-3.26,-2.68,-3.9,-2.98,-2.87,-3.69,-2.9,-2.85,-0.5
200708,-4.28,-2.58,-4.44,-4.21,-4.29,1.54,-1.44,1.58,-0.29,-0.47,0.15,0.84,1.53,-0.08,0.58,-0.92,0.76,0.24,-0.54,-0.09,0.27,-0.26,0.69,0.92,0.97
200709,1.16,2.01,3.09,4.21,8.06,-0.27,1.64,2.35,4.01,7.68,2.69,1.24,3.03,2.84,6.57,2.11,2.34,2.93,2.36,6.85,2.31,3.08,4.7,5.76,6.66
200710,-0.92,1.24,2.9,5.66,8.91,1.07,1.93,2.99,4.63,5.99,-1.71,2.7,3.96,4.65,6.53,0.78,2.83,2.31,5.08,6.37,0.59,2.14,3.1,3.19,5.9
200711,-12.01,-8.82,-8.62,-9.76,-10.53,-10,-7.89,-9.29,-10.12,-11.33,-5.76,-7.73,-5.78,-7.19,-8.22,-8.1,-5.35,-4.31,-6.31,-6.89,-7.27,-4.47,-4.15,-4.36,-4.04
200712,-2.52,-2,0.16,1.21,1.91,-2.26,0.61,0.04,0.41,1.75,-2.43,-1.49,0.25,0.36,1.71,-4.9,-1.78,-0.03,1.88,0.1,-6.48,-1.62,-0.2,1.08,4.67
200801,-3.41,-5.24,-7.53,-6.62,-9.5,-3.52,-4.63,-6.93,-10.97,-12.67,-2.25,-4.96,-6.38,-9.21,-9.34,-1.01,-5.36,-5.66,-6.09,-9.21,0.16,-6.14,-5.53,-6.57,-12.48
200802,-0.35,-0.43,1.53,3.18,1.34,-4.36,-2.99,0.23,-1.12,-0.56,-6.07,-3.06,-0.92,1.61,1.54,-8.38,-2.85,-0.58,-0.25,4.48,-7.41,-2.66,-2.13,0.19,3.87
200803,-5.36,-2.33,-3.62,-4.05,-5.83,-2.99,1.77,1.55,-1.53,-3.14,-3.14,-1.55,-1.3,-0.7,-3.1,-3.27,-0.91,-2.96,-2.23,-3.19,-4.8,-0.96,-1.97,-0.96,-2.56
200804,1.15,1.54,1.56,0.82,3.28,2.19,2.25,2.47,3.44,3.76,6.07,4.29,5.96,4,4.45,5.49,4.9,5.8,5.2,6.96,6.85,4.1,3.82,5.11,10
200805,3.88,4.04,3.87,3.06,5.44,5.07,4.26,3.45,3.11,8.08,3.96,2.98,3.77,3.92,7.48,4.67,4.25,2.18,5.79,7.78,-1.22,1.77,3.43,3.7,6.75
200806,-10.51,-7.82,-5.16,-3.37,-3.03,-14.27,-9.66,-9.58,-6.94,-2.17,-14.13,-10.43,-6.84,-5.62,-1.35,-14.92,-10.68,-6.99,-5.76,0.97,-15.32,-11.38,-7.37,-5.85,-0.24
200807,-1.89,0,0.22,0.51,-5.85,4.8,1.53,3.44,2.05,-2.07,-1.06,1.96,1.9,-1.24,-3.1,-1.66,2.03,-2.4,-2.36,-8.54,0.28,0.93,-0.13,-1.73,-11.19
200808,-0.12,-0.44,0.1,-1.49,-2.66,8.27,3.83,4.03,-0.6,-2.6,8.42,3.91,2.18,2.4,-2.4,3.88,3.68,2.16,0.3,-3.22,1.56,3.69,0.75,0.27,-3.36
200809,-15.51,-10.95,-9.43,-10.29,-16.1,-8.82,-8.13,-8.83,-8.02,-14.5,-12.11,-9.62,-10.18,-8.8,-16.53,-15.49,-10.3,-9.46,-13.13,-16.62,-12.35,-9.94,-6.91,-11.5,-16.58
200810,-29.16,-24.62,-22,-18.13,-22.76,-28.89,-24.16,-19.95,-18.67,-23.02,-25.22,-22.84,-24.82,-18.56,-21.07,-23.89,-20.97,-18.95,-20.84,-20.88,-24.75,-23.02,-18,-17.35,-19.29
200811,-19.29,-15.71,-14.96,-9.78,-11.94,-17.71,-13.93,-12.31,-12.34,-8.74,-15.51,-11.81,-11.03,-7.98,-8.71,-11.96,-11.49,-6.69,-4.31,-9.76,-13.34,-6.17,-6.65,-4.76,-9.52
200812,6.11,2.62,2.9,3.65,3.13,10.96,4.59,6.76,4.59,4.86,8.57,5.94,5.28,5.14,0.84,9.44,6.18,2.48,3.17,0.71,1.42,1.64,3.07,-0.26,-0.62
200901,6.54,-2.5,-3.62,-5.39,-7.03,-6.74,-9.24,-7.85,-9.62,-12.29,-3.15,-6.97,-9.69,-8.88,-10,-8.89,-5.18,-7.03,-6.93,-5.17,-6.68,-7.94,-5.97,-6.52,-7.34
200902,-12.26,-11.3,-9.63,-9.68,-10.55,-12.03,-12.28,-9.59,-10.84,-11.36,-11.13,-8.14,-12.5,-11.11,-9.81,-12.86,-9.47,-8.84,-8.92,-8,-12.29,-9.85,-9.18,-10.7,-8.33
200903,17.2,8.08,5.61,7.61,8.96,16.49,10.65,7.93,7.92,6.51,13.46,10.69,8.65,8.47,5.02,13.01,9.98,8.53,7.72,4.44,17.58,11.3,9.24,7.38,4.11
200904,31.79,16.55,11.76,11.04,8.16,41.62,18.86,20.69,10.57,5.59,31.43,21.33,14.39,12.28,5.81,32.99,16.95,10.95,6,1.79,30.05,18.09,8.14,6.24,0.15
200905,22.21,11.2,10.86,10.77,10.04,13.08,7.25,3.6,1.71,0.23,14.36,5.81,5.42,3.32,1.16,13.3,4.92,3.88,2.53,0.1,15.36,12.42,5.73,4.48,3.82
200906,1.77,1.38,1.07,5.11,3.89,-2.76,0.88,1.14,2.55,1.16,-1.97,-0.57,0.13,0.98,1.67,-1.87,-0.5,0.63,1.14,0.93,-6.98,-2.22,0.89,0.23,3.16
200907,10.33,9.96,8.99,5.77,7.89,14.36,12.16,8.81,8.53,7.22,12.67,10.34,8.45,10.01,7.78,12.57,11.86,9.34,7.14,6.65,11.81,10.69,6.99,6.49,6.61
200908,13.2,5.28,2.28,0.99,0.82,6.86,3.89,3.51,0.29,0.23,10.55,5.2,2.02,1.8,0.83,11.68,5.27,3.73,2.84,2.31,8.19,2.85,1.57,2.97,1.28
200909,11.84,8.64,7.03,6.31,6.31,12.06,7.82,2.64,4.94,5.48,11.23,8.31,5.25,4.82,5.55,10.26,6.19,4.97,4,5.7,6.78,4.92,4.67,3.98,4.19
200910,-5.73,-2.78,-3.2,-4.91,-5.37,-6.93,-5.89,-4.83,-4.59,-6.97,-5.88,-4.02,-5.24,-3.75,-7.47,-5.49,-3.46,-3.89,-3.14,-4.35,-5.28,-1.94,-3.45,-2.57,-4.58
200911,0.37,0.75,1.86,5.39,5.78,4.08,0.94,4.37,2.5,7.33,3.4,3.11,5.47,4.88,6.08,4.76,5.28,5.89,2.84,7.57,6.34,5.3,5.52,6.28,8.8
200912,6.16,5.89,7.89,7.98,6.52,7.83,7.58,7.09,9.18,10.28,8.01,4.55,5.87,7.58,6.56,6.74,4.41,5.72,5.7,7.68,1.71,3.83,2.82,3.8,4.68
201001,2.61,-0.59,0.98,0.78,-0.76,-0.44,-2.66,-4.3,-4.68,-4.79,-1.53,-3.31,-2.54,-3.68,-4.62,-1.65,-1.87,-2.91,-4.57,-5.3,-0.52,-3.03,-3.61,-6.14,-6.83
201002,1.2,3.77,4.02,4.5,6.4,2.96,3.5,4.27,3.15,6.41,3.81,3.17,5.59,4.45,7.83,2.2,5.46,4.31,5.02,8.34,1.33,3.36,4.18,5.96,5.45
201003,7.32,8.64,8.9,7.28,9.69,8.76,6.17,6.66,8.04,9.44,7.2,6.69,7.27,7.19,9.01,6.44,5.25,7.43,7.75,8.24,4.48,5.1,4.99,8.17,11.72
201004,10.38,6.94,4.77,6.79,9.13,5.89,4.21,4.91,6.71,6.1,3.32,3.18,3.36,5.62,5.41,3.09,4.25,3.37,4.59,4.72,0.93,1.02,1.95,1.77,3.33
201005,-9.33,-7.78,-7.74,-8.77,-8.57,-7.39,-6.17,-6.97,-7.55,-8.43,-7.97,-6.46,-7.01,-6.28,-9.08,-7.03,-6.94,-5.83,-8.01,-8.82,-7.28,-7.33,-7.29,-6.86,-8.64
201006,-8.38,-4.67,-5.31,-7.75,-7.75,-7.71,-5.2,-5.62,-5.96,-9.22,-6.56,-5.74,-5.02,-7.29,-10,-4.68,-5.82,-4.41,-7.52,-8.72,-5.06,-3.52,-5.27,-5.93,-8.91
201007,5.83,7.04,6.03,4.85,6.58,6.01,7.15,5.97,7.2,9.02,4.8,6.44,8.03,7.46,8.7,6.39,6.73,6.97,8.15,9.99,7.64,6.04,5.48,8.09,7.94
201008,-6.54,-5.6,-5.58,-4.39,-5.21,-7.93,-5.49,-6.44,-6.51,-4.7,-6.86,-4.68,-6.2,-5.1,-5.57,-5.16,-5.11,-3.84,-3.36,-2.97,-4.03,-4.18,-3.86,-4.3,-3.34
201009,11.05,10.43,10.23,12.84,13.73,13.07,12.48,12.49,11.54,13.25,13.26,11.43,11.26,11.83,13.44,11.58,11.16,10.03,10.37,11.52,10.77,9.07,7.79,9.83,11.19
201010,4.43,4.76,5.83,6.91,6.17,3.89,3.89,2.56,5.2,4.4,3.22,3.99,4.01,4.44,5.62,2.85,2.61,4.74,4.62,3.46,2.38,4.64,3.56,4.75,5.19
201011,1.55,2.96,4.22,4.38,5.95,2.88,2.16,2.28,5.14,4.59,2.82,3.23,3.35,1.59,6.88,0.5,1.32,3.08,2.19,4.3,0.68,-0.41,-0.08,1.37,2.47
